archivo,protocolo_numero,fecha_reporte,fuente,recolectado_por,fecha_muestra,hora_muestra,determinacion,valor_texto,valor_numerico,unidad,metodo,limite_oms,limite_caa,lod,observaciones,confianza,nota_extraccion
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Color UTN,1,1,,SM 2120 C.,5,5,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Olor,SIN OLORES,,,SM 2150 B.,,,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Turbiedad UTN,1,1,,SM 2130 B.,3,5,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,p.H.,7.90,7.9,,SM 4500 H+B,,,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Alcalinidad mg/l mg/l,440,440,mg/l,SM 2320 B,400,800,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Dureza total (CaCO3) mg/l,93,93,mg/l,SM 2340 C.,400,400,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Sólidos disueltos totales mg/l,446,446,mg/l,SM 2540 C.,1500,1500,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Cloruros (Cl-) mg/l,58,58,mg/l,SM 4500-Cl- B.,350,350,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Fluoruros (F-) mg/l,1.51,1.51,mg/l,SM 4500-F- D,1.5,1.7,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Sulfatos (SO4=) mg/l,46,46,mg/l,SM 4500-SO4 E.,400,400,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Nitrato mg/l,12,12,mg/l,SM 4500-NO3 E.,45,45,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Nitritos (NO2-) mg/l,0.01,0.01,mg/l,SM 4500-NO2-B.,0.1,,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Amonio (NH4+) mg/l,0.08,0.08,mg/l,SM 4500-NH3 C,0.2,,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Cloro residual (mg/l) mg/l,-,,mg/l,SM 4500-Cl G.,0.2,0.2,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Calcio (CaCO3) mg/l,54,54,mg/l,SM 3500-Ca D,100,,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Arsénico mg/l,0.040,0.04,mg/l,SM 3500-As C.,0.01,0.01,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Hierro (Fe) mg/l,0.20,0.2,mg/l,SM 3111-Fe B,0.3,0.3,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Magnesio (CaCO3) mg/l,39,39,mg/l,SM 3500-Mg E.,50,,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Dureza ºF,9.3,9.3,ºF,,,,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Calificación de la dureza,DULCE,,,,,,,POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo_0.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Recuento de bacterias heterótrofas totales a 22ºC,3 UFC/ ml,3,UFC/ml,agar APC a 22ºC - 48 hs.,,500,,BACTERIOLOGICAMENTE POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo_0.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Coliformes Totales,ausencia en 100 ml,,,caldo mac conkey 35ºC - 48 hs. confirmación (caldo brilla 37ºC - 48 hs.),,3.0,,BACTERIOLOGICAMENTE POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo_0.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Escherichia coli,menor que 1 por 100 ml,,por 100 ml,caldo EC 44.5ºC - 24 hs.,,0,,BACTERIOLOGICAMENTE POTABLE,alta,
protocolos/2025/69178._mun_de_saladillo_0.pdf,69178,2025-01-02,BOMBA 1,DR. EDMUNDO A. BALBUENA,2025-01-02,12:00,Pseudomona Aeruginosa,negativo,,,caldo asparagina a 25ºC - 72 hs. (agar cetrimida a 37ºC - 48 hs.),,,,BACTERIOLOGICAMENTE POTABLE,alta,
